527040,A bunch of birds sitting in a bread basket
527040,Two birds perched on a bread basked on a table
527040,Two finch birds standing next to a basket of bread
527040,Birds are standing in a basket on the table
527040,three birds sitting on a bread basket near a newspaper
335099,"Two small dogs are in front of a black iron gate, one of them looking up at something"
335099,Two dogs outside a fence sniff it
335099,two dogs on the porch peering through  a wrought iron gate
335099,Two brown and white dogs on patio outside of a gate
335099,A pair of dogs looking through a glass barred patio door
368242,a person is flying a kite in a field
368242,The boy is running as he tries to fly his kite
368242,A person running with a kite in the tall grass
368242,A boy is flying a kite in a field
368242,A small boy flying a lite in a big grassy field
425361,An individual is capture in the stillness of the picture
425361,A man sitting at a desk with food holding a wine glass
425361,A man who is holding a wine glass
425361,A young man that is having some wine and something to eat
425361,A man at an office desk drinking a glass of wine
488573,A cat on a city street with people
488573,A car drives under a red Asian archway
488573,A car is passing under an Asian styled red arch
488573,The arches in an Asian city are painted bright red
488573,An intersection shows  an expanse of empty road and then a car coming out from under a large arch that looks like a giant Chinese letter and stands between two buildings that stand at the forefront of am open walled walkway and retail venues
345125,A woman in pink coat and sunglasses talking on a phone
345125,A woman wearing sunglasses talking on a cell phone
345125,A young lady with a silly face is on her phone
345125,A woman wearing sunglasses talking on the telephone
345125,A woman wearing a pink jacket and talking on a phone
185546,A bathroom with a white toilet underneath a window
185546,View of a bathroom vanity looking into a separate room with a toilet and window
185546,"This bathroom contains a toilet, sink, and window"
185546,A home bathroom with the sink in a separate room
185546,Clean bathroom painted in pink and white paint
547617,A young person running to return the tennis ball to their opponent
547617,The tennis player has just hit the ball with the tennis racket
547617,A tennis player playing in a match who has just hit the ball
547617,A professional tennis player off the ground having just hit the ball
547617,A man swinging a racket at a tennis ball
249295,A Roman number clock tower near a municipal building
249295,there is a clock that is at the top of this structure
249295,A brick clock tower in front of a building
249295,A clock tower sits near a building and flagpole
249295,A tower that has a clock on the top of it
33650,A bedroom area with a draped bed and a desk
33650,A double bed with a canopy next to a window
33650,"A bed with a canopy made of netting, tied back with ribbons"
33650,A fancy bed with curtains in an orange room
33650,A bed is shown with a canopy over it
356828,A computer keyboard sitting on top of a desk
356828,A computer keyboard on a wood topped desk
356828,An out of focus picture of a computer keyboard
356828,The computer keyboard is sitting on the table
356828,a keyboard is laying on a wood desk
515904,A bathroom with a large tub next to a sink
515904,A bathroom with large faux marble tiles and a built in bathtub
515904,a black bathroom in someones house with a tiny tub
515904,A bathroom laid in gray marble looks cold and uninviting
515904,Bathtub in a very fancy stone tiled bathroom
274947,two red shuttle buses riding down a street next to a blue pole
274947,The double decker bus drives next to a normal size bus
274947,A couple of red double decker buss on a street
274947,a double decker bus rides next to another bus
274947,two buses one regular the other double decker  on a city street
222343,a close up of a toilet with a poster on the wall
222343,A band poster is above a bathroom toilet
222343,A concert poster is hung above the toilet
222343,Someone posted a poster above a toilet in a public restroom
222343,Large poster on wall behind white commode in dark tiled bathroom
256470,A horse standing in the open field looking a the lake
256470,A horse looks away from the camera toward a lake
256470,A view from someone riding horseback in an open field with a pond on it
256470,A first-person view of riding a brown horse through a field
256470,"The view is from the back of a horse, riding in a dry, grassy field towards a pond on a sunny say"
406932,A dog hanging out of a side window on a car
406932,Dog looking out car window as reflected in side view mirror
406932,A dog with his head out of the window and tongue hanging as seen in a car mirror
406932,a dog look through a cars window
406932,A dog's reflection in a car door mirror
323507,a little vase of flowers that are yellow in a blue vase
323507,a close up of a vase with flowers in it on a wooden floor
323507,A blue vase filled with yellow tiny flowers
323507,Small yellow and orange flowers are arranged in a cobalt blue vase
