image_id,time_in_microseconds,prediction
10707,1949795,hair spray
117014,596715,ski
154830,282925,"traffic light, traffic signal, stoplight"
168797,588788,"bannister, banister, balustrade, balusters, handrail"
169250,288680,window shade
179187,586702,street sign
185546,547854,"medicine chest, medicine cabinet"
192554,298281,"medicine chest, medicine cabinet"
193021,310997,library
200058,291388,ski
222343,299065,"washbasin, handbasin, washbowl, lavabo, wash-hand basin"
235642,276528,zebra
249295,414157,analog clock
256470,276553,French bulldog
26518,588966,mousetrap
274947,284341,"trolleybus, trolley coach, trackless trolley"
306437,322784,"pay-phone, pay-station"
322762,281707,"African elephant, Loxodonta africana"
323507,610119,"pot, flowerpot"
335099,533927,English setter
33650,573963,mosquito net
338847,327563,"academic gown, academic robe, judge's robe"
342958,274285,"seashore, coast, seacoast, sea-coast"
345125,280905,"sunglasses, dark glasses, shades"
34657,270652,"pajama, pyjama, pj's, jammies"
354572,584770,"stupa, tope"
356828,579434,"notebook, notebook computer"
35807,578473,"Indian elephant, Elephas maximus"
368242,275475,umbrella
391255,275337,"groom, bridegroom"
404642,604679,"hotdog, hot dog, red hot"
4069,585020,"mountain bike, all-terrain bike, off-roader"
406932,584881,car mirror
407646,459452,"racket, racquet"
424293,297047,"traffic light, traffic signal, stoplight"
425361,593017,wine bottle
432146,283281,ski
488573,529790,"gas pump, gasoline pump, petrol pump, island dispenser"
499989,304019,"cheetah, chetah, Acinonyx jubatus"
515904,290146,"tub, vat"
519094,274495,Norwich terrier
527040,363630,bulbul
540775,637872,"racket, racquet"
547617,332809,"racket, racquet"
552775,308652,waffle iron
64425,299392,"traffic light, traffic signal, stoplight"
75076,608454,park bench
87956,276873,"seashore, coast, seacoast, sea-coast"
90366,277039,ox
93437,601620,"bathing cap, swimming cap"
