image_id,time_in_microseconds,prediction
10707,20462743,they are playing a video game in the living room together
117014,11841946,there is a snowboarder that is jumping in the air
154830,13265613,there is a man riding a bike down the street on a bike
168797,12415384,arafed skateboarder doing a trick on a bench in the dark
169250,12035295,"there is a living room with a couch, television and a window"
179187,11987657,there is a sign on the side of the road that says no parking
185546,12267730,there is a bathroom with a toilet and a sink in it
192554,12156820,there is a urinal and a sink in a bathroom
193021,12208819,there is a kitchen with a table and chairs in it
200058,11970426,skier standing on a snowboard in the snow at a ski resort
222343,11762017,there is a poster on the wall above a toilet in a bathroom
235642,10199745,zebras standing in a line in a fenced in area
249295,9967461,there is a clock tower with a flag on the top of it
256470,11867798,arafed view of a horse ' s head from the back in a field
26518,12245676,someone is standing on a skateboard with their feet on it
274947,11773547,there are two red double decker buses that are parked on the street
306437,11779136,there is a man riding a skateboard on a cement block
322762,11869318,there is a large elephant standing in the water by the trees
323507,11909490,there is a blue vase with yellow flowers on a wooden table
335099,12112036,there is a dog that is looking out the window at another dog
33650,12056604,there is a bed with a canopy in a room with orange walls
338847,10409181,there is a woman in a black shirt and red tie
342958,9921738,surfers board on a balcony overlooking the beach and ocean
345125,11004133,smiling woman in pink jacket and sunglasses talking on cell phone
34657,12182907,three men sitting on a couch playing a video game
354572,11425574,there is a man sitting on a stone structure holding an umbrella
356828,9964207,there is a computer keyboard and mouse on a desk
35807,11535151,elephants walking in the rain at a zoo with people walking by
368242,11524058,there is a young boy flying a kite in a field
391255,10253626,bride and groom cutting their wedding cake with a sword
404642,9947578,there are two hot dogs on a plate with coleslaw on them
4069,11017163,they are two men riding bikes on a dirt road
406932,12247208,araffe dog looking out of a car window in the side mirror
407646,11832833,there is a man that is playing tennis on the court
424293,11886693,there is a stop sign on a pole on the corner of a street
425361,11944498,there is a man sitting at a desk with a glass of wine
432146,12013471,skier in red jacket skiing down a snowy slope with trees in background
488573,10321843,arafed red gate in the middle of a city street
499989,9964894,there is a giraffe standing in the tall grass near the trees
515904,11282493,there is a bathtub and a sink in a bathroom
519094,11790305,there is a cat that is sitting on a chair with its mouth open
527040,12173480,there are two birds sitting in a basket on a table
540775,11988141,there is a woman that is playing tennis on the court
547617,12159086,tennis player in mid air after hitting the ball with his racket
552775,12709285,there is a man taking a muffin out of the oven
64425,12193171,there is a traffic light that has a no turn on red sign on it
75076,12116284,there is a bench in the middle of a forest with red leaves
87956,10392796,surfer walking on the beach with his board in hand
90366,10478422,araffe and dog sitting in front of a fake cow
93437,12014263,smiling elderly man in kitchen with a knife and fork
